,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3,Peak_48 Channel 1,Peak_48 Channel 2,Peak_48 Channel 3,Peak_49 Channel 1,Peak_49 Channel 2,Peak_49 Channel 3,Peak_50 Channel 1,Peak_50 Channel 2,Peak_50 Channel 3,Peak_51 Channel 1,Peak_51 Channel 2,Peak_51 Channel 3,Peak_52 Channel 1,Peak_52 Channel 2,Peak_52 Channel 3,Peak_53 Channel 1,Peak_53 Channel 2,Peak_53 Channel 3,Peak_54 Channel 1,Peak_54 Channel 2,Peak_54 Channel 3,Peak_55 Channel 1,Peak_55 Channel 2,Peak_55 Channel 3,Peak_56 Channel 1,Peak_56 Channel 2,Peak_56 Channel 3,Peak_57 Channel 1,Peak_57 Channel 2,Peak_57 Channel 3,Peak_58 Channel 1,Peak_58 Channel 2,Peak_58 Channel 3,Peak_59 Channel 1,Peak_59 Channel 2,Peak_59 Channel 3,Peak_60 Channel 1,Peak_60 Channel 2,Peak_60 Channel 3,Peak_61 Channel 1,Peak_61 Channel 2,Peak_61 Channel 3,Peak_62 Channel 1,Peak_62 Channel 2,Peak_62 Channel 3,Peak_63 Channel 1,Peak_63 Channel 2,Peak_63 Channel 3,Peak_64 Channel 1,Peak_64 Channel 2,Peak_64 Channel 3,Peak_65 Channel 1,Peak_65 Channel 2,Peak_65 Channel 3,Peak_66 Channel 1,Peak_66 Channel 2,Peak_66 Channel 3,Peak_67 Channel 1,Peak_67 Channel 2,Peak_67 Channel 3,Peak_68 Channel 1,Peak_68 Channel 2,Peak_68 Channel 3,Peak_69 Channel 1,Peak_69 Channel 2,Peak_69 Channel 3,Peak_70 Channel 1,Peak_70 Channel 2,Peak_70 Channel 3,Peak_71 Channel 1,Peak_71 Channel 2,Peak_71 Channel 3,Peak_72 Channel 1,Peak_72 Channel 2,Peak_72 Channel 3,Peak_73 Channel 1,Peak_73 Channel 2,Peak_73 Channel 3
0,0.0,62.676,118.59,6446.055,248.46,153.12,13037.44,208.8,847.0,3925.0,532.774,343.077,4114.82,159.2,116.36,2097.8,108.2,120.52,6301.0,50.88,147.16,6225.1,203.879,141.154,3138.086,268.35,87.63,8039.13,742.55,550.52,8649.3,236.042,268.946,6647.755,249.905,155.872,17489.626,139.873,76.716,13171.978,142.887,2051.129,7230.256,90.0,169.26,8807.6,183.605,84.851,6065.649,542.893,94.417,1773.191,182.82,192.42,3266.42,439.65,312.75,6058.55,95.184,119.446,7101.629,521.523,122.143,5398.041,195.801,152.703,8345.566,408.632,181.58,4133.263,117.96,171.01,2075.64,1030.92,228.96,5199.8,143.0,171.0,3938.0,83.113,221.086,1929.239,328.691,2050.55,2662.082,207.24,590.04,2140.0,299.454,303.379,9513.973,679.409,165.881,1608.386,152.124,337.456,1550.564,188.4,213.4,3366.2,89.0,120.0,2597.0,774.403,117.702,12654.085,114.8,704.917,7091.108,103.865,77.706,1363.296,326.574,271.68,2906.035,192.328,131.438,3379.864,189.68,100.6,11991.6,133.444,170.241,15189.733,94.0,67.0,1789.0,150.84,135.28,4152.84,340.38,135.31,2154.96,381.26,66.53,4420.94,603.313,2350.059,6064.484,278.235,235.331,6093.309,78.977,130.551,2176.344,552.378,104.425,2932.964,225.31,141.22,2412.9,108.9,141.15,2276.55,134.0,226.0,1792.0,171.8,45.2,3846.2,365.34,186.24,3198.18,156.566,1956.03,6060.402,110.345,1192.135,7872.275,82.06,136.98,4132.76,60.928,179.25,4047.858,78.86,404.88,7465.74,236.76,470.36,4386.68,229.018,194.911,11857.291,85.0,310.0,7628.0,319.9,196.9,5125.83,147.807,93.978,4787.807,220.24,236.74,4719.72,310.46,201.06,3642.74,204.862,122.517,7516.975,198.5,108.255,2710.09,349.44,335.25,5142.32,87.81,3122.83,8937.0,358.0,191.0,4430.0,568.36,651.36,3875.54,594.0,130.0,4458.0
1,0.035,77.44,118.16,7278.0,253.68,206.32,12014.66,211.8,548.6,4611.8,529.568,419.167,3887.449,169.164,129.137,2687.563,137.5,134.18,6634.32,44.05,242.25,6894.66,175.06,128.34,3843.0,234.813,113.755,10022.671,635.77,877.24,8238.43,203.32,188.88,7237.56,185.731,211.716,15217.624,135.02,60.22,8701.68,163.46,3302.82,7645.18,97.92,139.5,6480.16,189.34,49.9,5311.26,452.94,122.05,1353.94,269.06,149.72,3519.34,448.016,364.891,6011.496,87.353,151.609,6135.895,576.554,107.678,5653.667,204.3,115.15,7374.55,399.44,210.599,3582.666,109.18,150.96,1427.21,1090.28,180.92,5033.08,136.665,184.971,4781.975,106.4,208.14,2385.38,307.728,2513.812,2949.126,237.926,369.558,2473.896,314.9,208.08,7846.11,785.0,283.2,1535.4,164.944,296.134,1618.987,196.169,262.844,4281.173,91.828,90.766,2151.232,895.72,117.52,13509.8,109.157,511.446,7897.435,140.241,100.756,1515.616,307.72,219.24,3823.4,188.36,139.3,2315.26,198.04,109.16,9515.96,138.817,180.461,14210.748,101.414,83.385,2084.127,120.76,129.84,4445.76,377.558,108.783,2440.166,358.07,78.25,4132.05,568.3,1572.6,6189.1,263.012,228.047,6515.762,70.0,108.0,3102.6,521.785,87.914,2638.31,220.533,159.496,2578.514,142.2,141.05,2341.05,142.0,247.0,1257.0,189.4,65.0,4300.0,363.0,159.24,2589.02,143.598,1270.22,7178.629,88.48,1314.42,10035.07,74.08,93.2,4616.34,55.9,286.642,4951.891,78.444,353.956,7944.293,240.0,498.64,3804.44,156.649,210.982,10393.096,107.0,245.0,8975.0,332.636,222.155,4349.408,157.56,65.42,4434.05,241.5,190.26,5223.08,343.667,191.4,3892.241,204.0,109.4,8167.8,203.722,121.066,3286.303,341.15,493.87,5661.84,119.31,3213.11,8683.55,421.0,190.0,3966.0,503.42,673.96,3624.46,615.0,85.0,4185.0
2,0.07,101.0,106.88,8044.92,273.82,290.78,11266.14,206.6,422.4,6062.4,516.433,545.485,4478.71,179.701,134.663,4264.196,165.7,121.426,7231.09,42.95,435.97,7679.69,138.82,126.2,4609.88,214.8,159.4,11330.8,499.98,1343.55,7124.34,175.34,117.84,6230.88,157.79,276.67,11497.17,121.911,69.779,5658.445,185.3,4203.24,7576.84,138.783,158.273,5108.771,204.32,74.88,5770.78,409.042,158.885,957.066,354.12,100.3,4191.28,473.95,548.945,5791.374,77.0,164.0,6051.0,596.638,101.117,6085.895,222.6,146.1,5778.55,372.9,255.0,3688.1,144.263,153.504,1390.935,1026.358,229.32,5288.202,151.92,179.1,5778.2,138.665,189.911,3758.086,241.669,3010.781,2761.666,257.085,207.956,2612.425,328.251,275.597,6078.3,826.4,374.8,1860.0,173.821,262.964,1538.858,180.96,320.08,5329.99,86.568,60.87,1699.464,958.706,116.748,12923.659,99.536,354.854,7397.924,185.496,126.164,1646.935,282.967,153.248,4987.841,183.7,133.74,2007.72,199.0,105.6,6707.32,130.621,183.302,12182.067,109.98,81.08,3773.78,96.0,143.96,5043.8,403.44,69.56,3254.11,328.9,97.64,3470.53,611.8,785.45,6220.5,242.828,194.96,7291.988,95.215,130.775,4155.255,522.92,99.56,2457.32,225.3,143.62,2722.3,169.3,148.2,2503.25,172.906,488.212,1908.579,201.2,102.4,4660.4,372.02,137.96,2410.84,164.361,695.171,8729.312,62.195,1503.043,11016.091,77.1,200.8,4998.38,63.12,558.86,7240.46,78.553,328.688,6917.506,245.429,473.769,3640.771,90.16,241.52,8646.4,127.0,195.0,9788.0,304.64,243.778,4047.912,158.29,87.09,3256.82,238.711,212.664,5392.301,404.561,167.555,4861.781,209.294,129.068,8441.671,211.85,115.07,3826.36,322.585,680.244,5942.83,187.49,2881.43,7919.74,455.0,287.0,4104.0,515.66,672.28,3928.16,681.0,91.0,4326.0
3,0.10500000000000001,126.76,87.28,8399.4,312.42,365.97,10854.24,198.675,411.721,7999.99,464.358,688.258,5833.366,195.228,111.869,7233.849,205.869,115.634,8432.697,52.208,684.429,8148.207,123.874,128.287,5207.762,221.2,225.4,11348.8,344.699,1738.451,5384.397,135.013,111.332,4763.389,162.516,341.349,9848.645,112.111,68.789,4031.989,185.074,5091.903,6754.875,197.38,157.37,4524.38,233.183,207.575,5899.106,333.498,193.616,939.283,427.225,82.136,5013.839,527.046,780.881,5494.635,73.0,116.0,6357.0,559.997,151.45,7484.197,213.449,224.035,4770.544,324.059,267.281,3645.313,222.688,207.393,2299.177,907.06,305.91,5629.86,164.076,194.264,7635.9,157.319,205.362,5621.778,275.184,2929.383,2323.28,259.913,180.0,2617.134,334.22,491.38,6295.72,797.6,385.4,2519.4,183.421,237.448,1373.366,172.278,354.585,6249.099,80.601,37.676,1232.618,961.09,130.68,11450.27,88.53,487.578,8188.767,240.495,112.87,1848.47,265.54,140.86,5953.71,176.06,122.08,2098.06,208.747,91.627,4590.212,112.727,185.206,9879.239,124.671,87.558,5501.919,74.52,150.4,6117.92,402.33,66.54,4594.04,299.07,87.6,2692.28,598.08,406.439,5655.967,228.485,158.306,7444.928,121.2,166.2,5183.6,442.371,92.055,2097.115,232.568,100.433,3005.245,186.25,196.0,2739.65,215.7,913.68,2835.6,211.0,153.6,5485.2,375.603,144.831,2569.101,243.2,441.72,9200.56,58.844,1247.106,11277.274,94.4,339.16,6069.14,71.971,834.778,9586.513,78.82,280.28,6153.88,285.73,438.28,3411.3,39.908,339.8,6963.986,116.737,191.864,9464.786,282.89,259.83,4153.32,205.5,101.612,1937.972,247.99,210.24,5278.82,469.619,180.144,6196.748,215.433,134.474,8814.386,208.82,108.797,4099.048,298.546,889.399,6215.573,272.853,2570.391,7795.398,491.234,459.942,4140.389,589.56,586.74,4287.86,810.622,109.092,4101.028
4,0.14,145.454,71.967,8684.726,365.04,396.69,10345.46,189.918,390.409,9432.427,407.253,792.068,7247.957,208.443,180.587,10196.371,220.92,141.24,9478.72,56.24,968.52,8435.88,132.36,107.49,5549.81,235.6,306.0,10738.0,221.507,1571.473,3726.041,127.879,127.664,3987.684,196.0,402.26,10219.4,121.215,78.517,3245.661,182.9,5579.9,5617.85,239.77,136.86,4845.85,278.644,390.011,4990.616,292.966,242.582,1178.406,460.112,80.148,4797.181,579.789,993.581,5350.746,96.0,52.0,7088.0,503.777,239.295,8331.625,195.6,268.2,4154.72,287.449,257.702,3266.21,318.84,210.6,3296.96,762.107,384.731,6003.794,177.468,201.679,10851.245,178.17,222.565,7577.393,425.9,2524.0,1893.7,252.37,250.945,2448.704,322.179,703.306,8965.252,732.384,321.987,3355.678,191.733,246.171,1195.766,137.0,367.0,7054.0,111.226,62.967,806.454,880.04,197.96,8875.35,81.15,540.9,8164.75,311.127,92.22,1782.649,248.95,182.62,6320.64,164.42,115.36,2453.56,221.06,85.42,2864.7,91.475,153.99,7345.634,141.701,127.364,6411.095,66.72,133.4,7346.08,371.04,68.41,6610.24,269.6,66.727,2015.385,462.792,301.102,5161.422,225.874,136.845,7111.013,129.44,221.112,6396.393,322.226,86.196,1886.137,238.12,69.98,3240.32,191.252,230.97,3265.918,261.36,1359.04,3808.3,217.6,217.2,5921.8,447.36,203.87,2672.22,332.177,337.088,8987.709,60.252,883.91,9866.665,107.122,364.509,6816.239,79.77,893.71,11644.9,82.28,237.56,5202.52,353.734,334.402,2932.272,31.041,427.214,6325.004,136.46,154.64,8575.26,247.33,268.28,4512.8,293.431,93.741,1634.664,287.04,236.77,5310.9,456.48,175.78,6727.6,219.12,168.57,9179.92,211.649,65.205,4328.114,259.774,946.285,5915.579,364.6,2361.55,8683.45,475.66,589.86,4462.22,692.86,566.54,4361.96,957.44,109.4,4682.66
5,0.17500000000000002,166.31,85.7,8209.19,408.21,407.51,10041.35,171.204,316.792,9823.312,378.05,780.75,8950.55,209.668,337.788,12061.683,218.269,180.109,10273.254,59.4,1354.92,8717.44,147.833,104.495,5710.069,258.2,380.2,10246.4,171.94,1803.1,2695.0,140.74,169.7,3110.94,246.692,452.953,12528.682,131.37,99.53,3048.57,178.166,5004.591,4122.785,281.99,118.66,6039.7,314.185,559.235,3755.94,287.539,313.916,1353.937,438.86,101.82,3805.57,624.25,1191.25,5412.5,130.613,63.113,8581.428,455.44,307.68,8400.28,194.8,233.76,4628.56,303.628,246.755,3034.758,402.068,235.358,5117.222,602.408,447.28,6261.719,189.317,190.817,14577.269,198.53,211.84,6272.02,692.3,1869.95,1861.25,237.02,323.96,2568.48,311.942,912.336,11179.607,638.8,243.2,4724.08,202.464,307.482,1223.326,124.0,529.0,6760.0,164.546,73.386,615.981,788.716,300.575,6153.763,79.333,434.446,6734.869,374.719,68.928,1357.133,242.296,238.588,6996.34,146.8,114.66,3286.52,242.045,97.041,1661.373,73.4,121.5,5122.95,155.73,176.523,6275.902,73.04,112.52,7992.2,325.497,84.907,8169.457,238.346,45.475,1670.975,425.752,272.129,4555.719,241.398,121.667,5906.94,124.045,298.902,7594.552,197.648,119.307,1981.852,229.46,90.746,3839.117,195.624,305.015,4610.056,298.78,1689.52,4880.62,238.206,261.36,6117.003,542.161,247.639,2991.843,407.645,281.318,8190.378,57.667,533.066,7658.481,112.797,301.648,7329.253,82.446,797.634,14128.805,110.735,207.894,3893.909,402.524,300.473,2975.105,36.25,480.55,6839.35,164.82,121.84,6817.5,220.669,251.659,4454.291,407.6,113.2,1233.2,306.784,282.717,4812.649,479.364,184.965,6528.489,222.526,187.197,7831.333,197.301,53.279,5056.449,221.535,883.274,5295.372,455.7,1393.85,8930.6,402.24,578.36,5346.52,789.34,467.32,3946.14,1067.02,100.06,6024.56
6,0.21000000000000002,179.92,111.29,6582.45,427.85,423.58,10260.54,141.29,262.567,8911.715,383.977,666.086,14018.019,188.13,513.09,12315.98,217.221,186.898,10094.077,66.24,1639.84,8688.52,191.031,97.321,5814.085,306.292,377.605,11188.194,209.22,1943.24,2853.36,140.28,262.0,2816.38,296.13,513.12,15314.45,138.51,97.28,3358.85,186.04,4196.24,2755.9,340.235,135.153,8211.615,340.37,698.67,2698.81,311.906,363.374,1541.076,395.077,142.276,2999.478,625.358,1300.491,5675.096,159.54,74.48,10618.68,430.854,397.484,7852.747,212.08,225.96,6694.2,324.603,241.103,3580.116,468.538,238.536,7078.033,501.44,455.08,6048.64,196.472,205.248,16844.427,211.117,237.178,6276.877,1013.15,1274.8,2324.45,213.785,287.127,3437.482,320.779,1167.794,12863.289,530.88,165.68,6245.68,174.64,401.48,1231.96,109.565,449.26,6813.355,236.37,83.76,656.68,720.6,375.8,3994.4,102.2,349.42,5636.44,343.85,165.8,2423.9,246.2,273.86,8561.3,124.16,116.32,4750.06,270.17,122.62,1042.93,54.008,192.791,2882.889,176.354,207.925,5267.857,99.52,123.2,7627.04,286.489,138.682,8428.474,184.25,117.5,1576.85,457.112,287.509,4125.747,285.76,125.83,5091.63,102.517,363.093,8674.982,116.116,165.852,2154.807,227.247,126.408,3883.717,231.417,424.145,7487.164,317.92,1787.94,5629.24,296.362,327.466,6597.39,643.25,239.5,3766.75,449.752,251.783,6874.115,49.888,299.57,5294.469,110.465,192.006,7821.137,81.379,672.801,16215.873,121.58,164.2,2780.67,470.65,171.6,3400.65,42.948,519.874,7866.034,175.049,107.689,5493.184,197.2,325.6,4421.4,512.4,134.8,1274.4,304.44,332.28,4130.44,567.21,235.72,5844.99,215.366,191.607,6771.021,171.272,56.389,6260.704,195.8,794.0,4177.8,528.8,846.45,9909.85,319.499,537.969,5271.161,869.36,304.48,3354.28,1117.16,127.36,7518.94
7,0.24500000000000002,183.02,159.24,5402.85,415.03,364.98,9934.8,112.981,262.699,7275.731,391.663,652.114,15378.911,175.105,630.743,9678.486,225.93,158.729,8940.41,93.68,1747.72,8926.84,233.631,132.006,5846.602,354.99,378.406,12662.397,256.06,1816.64,3289.18,132.26,403.28,2766.22,379.68,500.06,15670.73,144.58,198.37,4228.37,188.06,2960.3,2109.92,407.96,205.64,10932.24,348.47,737.57,2021.18,355.339,356.128,1980.915,347.8,191.88,1936.2,631.098,1323.267,5738.142,170.62,109.74,12357.46,427.626,440.061,6625.481,250.88,272.04,10217.88,349.632,215.204,3899.911,522.342,238.655,8524.509,403.919,455.83,5914.99,199.443,215.642,18092.804,231.32,255.44,4740.78,1315.35,878.8,3090.0,210.248,320.542,4173.775,357.638,1582.008,12931.395,435.8,123.08,7663.28,160.484,463.637,1380.097,97.72,408.26,6460.56,309.154,159.989,1088.97,664.4,387.8,2506.2,145.24,324.0,5396.64,376.764,453.083,2922.048,239.49,221.571,9496.705,100.82,123.6,6759.84,273.14,135.78,904.03,40.061,292.421,1897.424,208.98,260.24,4291.24,137.32,125.0,6754.88,247.386,233.217,7689.831,135.837,327.453,1887.319,479.311,261.796,4637.986,336.37,163.54,4043.91,95.458,376.695,8568.723,90.4,182.0,2199.0,224.2,153.8,4620.0,264.577,626.809,11336.827,360.94,1635.9,5645.44,369.6,475.0,6894.44,795.75,209.0,4120.5,415.823,251.283,5148.749,42.403,244.979,4025.905,98.65,143.643,8184.454,75.775,490.705,16445.622,120.3,98.9,1884.5,517.664,246.265,4298.046,74.515,687.674,11144.394,189.638,98.993,4384.272,214.406,406.844,4253.941,558.228,152.21,2170.934,322.6,392.76,4272.24,654.43,386.278,5286.97,222.7,161.5,5396.4,136.428,104.317,7755.802,181.65,723.95,3285.289,587.9,604.959,11117.004,231.07,410.03,4911.88,940.0,169.24,2807.96,1091.68,171.38,8818.72
8,0.28,179.06,289.63,5329.96,370.74,344.8,9079.34,90.5,311.25,5234.85,380.014,576.847,15302.349,193.74,805.054,7298.399,265.297,254.525,6988.585,113.64,1671.72,8537.88,269.131,226.134,5726.461,383.101,471.023,13511.899,267.78,1513.14,3603.76,134.44,563.32,3272.12,461.439,476.99,15728.157,147.79,489.65,5520.53,191.16,1832.14,1913.56,444.32,367.96,15972.36,353.159,706.234,1604.5,406.809,329.227,2278.145,307.72,239.08,1615.68,601.074,1398.01,5552.325,180.776,143.482,13418.089,540.1,596.9,5486.9,298.56,280.24,13279.76,373.269,191.19,3935.731,563.831,386.774,8514.977,360.56,450.16,5452.12,198.55,230.56,18411.88,252.806,307.608,3621.52,1514.8,651.6,3965.0,269.28,458.48,4100.2,402.336,1917.719,11643.126,367.333,144.897,8623.15,148.28,476.408,1435.701,94.34,386.92,6145.18,398.449,330.082,1876.398,684.8,439.0,2436.8,179.667,329.04,5573.029,403.05,788.281,2993.94,246.584,271.71,12422.403,82.44,136.9,8392.64,264.97,223.07,1300.55,38.797,386.813,2251.427,243.312,298.6,3941.155,169.28,135.56,5961.12,190.84,287.96,9408.8,100.76,710.48,2462.4,458.036,241.27,5890.925,363.191,201.572,2636.415,111.61,314.81,6981.62,78.824,179.366,2027.08,237.4,152.4,4890.6,285.25,771.5,16412.25,383.847,1498.753,6030.034,435.2,664.6,6794.52,926.5,201.5,3944.5,370.87,298.51,4043.85,40.006,256.614,3549.799,87.3,253.2,8124.8,74.281,339.64,14026.809,165.123,72.284,1573.01,529.581,368.617,5200.11,103.06,990.6,16056.74,202.56,104.31,3817.97,255.41,456.156,4008.363,578.52,270.0,2951.56,341.845,390.495,5008.875,672.466,661.177,4857.411,230.131,153.696,4897.271,98.335,220.729,8567.216,157.823,574.617,3274.071,685.018,556.695,13275.54,177.22,283.75,4646.87,977.608,319.331,2289.021,999.42,250.02,9588.32
9,0.31500000000000006,175.51,494.76,5605.54,308.97,552.87,7878.74,60.931,363.649,4166.413,397.7,553.12,12879.18,184.8,1250.2,5335.2,318.8,502.1,5290.8,120.6,1479.84,8287.12,292.658,369.871,5369.115,399.35,519.26,8846.87,240.56,1190.46,3827.56,143.6,893.88,3717.06,486.667,511.337,15089.395,144.28,1002.97,6819.21,199.36,1048.2,2097.28,469.498,590.754,21310.753,366.4,788.4,1445.4,474.6,392.9,2096.0,267.584,405.532,1458.042,563.905,1658.554,4994.033,193.06,244.849,13524.179,664.75,1048.65,5591.6,353.08,291.52,14386.68,376.63,343.669,3457.419,632.309,656.544,9898.76,383.055,491.136,4583.149,202.78,242.07,16192.95,268.128,563.269,2886.593,1547.4,583.35,5089.6,302.868,589.227,5195.484,428.766,2004.19,9539.293,339.24,190.68,8489.12,135.48,405.083,1333.123,95.32,375.32,6368.14,472.289,633.155,2871.429,760.0,638.8,3158.2,189.2,335.66,5791.48,422.02,1157.7,2646.16,264.34,468.04,15485.0,84.26,212.62,8795.58,251.97,443.63,2196.07,34.829,441.064,2941.042,276.92,295.602,4673.73,189.72,259.32,5539.76,151.088,388.104,8551.991,77.92,1370.28,2846.72,419.598,386.574,7022.496,385.808,288.43,1764.766,130.1,298.772,5641.421,79.056,222.285,1562.728,280.426,173.005,4465.75,274.19,751.974,21060.584,409.62,1290.83,6162.01,510.654,976.111,7536.948,1000.855,263.059,3493.403,277.814,403.67,3530.744,42.09,327.93,3492.92,91.7,438.4,7328.8,87.48,269.64,11202.76,237.5,99.75,1639.75,499.97,528.91,6276.1,115.57,1422.29,19250.07,206.95,137.99,3487.84,301.372,541.611,3641.256,552.353,580.09,3637.983,362.849,433.292,5636.665,666.37,1001.238,5474.397,234.885,186.512,4845.113,77.214,413.093,8230.487,143.42,541.87,3512.77,761.23,527.78,13263.79,167.248,346.173,4046.216,950.602,973.534,2057.185,870.734,412.932,8583.518
10,0.35000000000000003,180.39,730.03,5782.94,255.1,962.12,6931.05,49.934,522.35,3895.489,425.305,589.328,9811.265,159.4,1704.6,3955.0,368.006,670.861,4595.686,114.96,1302.08,7811.92,292.37,547.639,4834.988,392.99,473.16,5980.68,184.14,1837.66,5532.3,134.68,1348.2,4303.18,511.6,1054.0,12732.4,142.887,2051.129,7230.256,217.54,716.66,2563.96,453.623,977.376,24377.894,372.4,1117.0,1407.0,528.707,738.596,1533.57,252.276,519.993,1404.543,528.93,2131.31,4236.39,215.824,456.606,12211.893,708.846,1938.158,5688.423,417.72,428.44,13092.84,360.424,684.176,2845.978,712.08,999.54,10321.36,416.594,595.185,3461.459,201.44,403.27,12096.48,293.583,1054.445,2365.174,1401.35,950.5,5979.55,337.699,788.389,6364.124,357.24,1827.32,8430.97,330.332,258.641,7151.317,138.127,534.377,1668.992,103.326,569.52,6569.332,514.75,913.0,4008.0,829.0,1061.8,4358.4,207.64,507.46,5625.76,459.76,1674.18,2041.18,271.3,724.18,16335.5,105.82,331.5,7772.7,238.97,735.85,3367.16,47.156,608.431,3804.785,293.227,312.637,6226.398,199.04,454.64,5568.04,116.419,512.897,6862.69,60.48,2297.88,2922.24,373.6,714.26,7542.02,421.6,483.8,1430.9,132.5,422.0,5271.75,125.192,307.044,979.057,331.0,231.0,3763.76,254.052,875.374,23799.475,460.99,1247.8,5804.47,559.34,1150.94,9480.28,991.377,568.492,3459.023,189.6,606.6,4294.2,43.81,526.08,3069.58,115.3,676.1,6326.0,103.667,447.463,7850.647,300.5,215.75,1757.75,428.316,674.577,7473.043,115.81,2799.03,20088.45,213.12,280.0,3676.83,359.62,889.74,3319.09,492.52,940.96,4335.36,434.8,585.4,6260.08,635.443,1376.871,6401.374,233.05,277.516,4797.908,89.935,748.038,7118.082,115.391,667.675,4635.14,794.71,591.16,11734.19,149.308,491.77,4433.886,947.46,1907.84,1675.68,734.033,668.546,7052.638
