,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3,Peak_48 Channel 1,Peak_48 Channel 2,Peak_48 Channel 3,Peak_49 Channel 1,Peak_49 Channel 2,Peak_49 Channel 3,Peak_50 Channel 1,Peak_50 Channel 2,Peak_50 Channel 3,Peak_51 Channel 1,Peak_51 Channel 2,Peak_51 Channel 3,Peak_52 Channel 1,Peak_52 Channel 2,Peak_52 Channel 3,Peak_53 Channel 1,Peak_53 Channel 2,Peak_53 Channel 3,Peak_54 Channel 1,Peak_54 Channel 2,Peak_54 Channel 3,Peak_55 Channel 1,Peak_55 Channel 2,Peak_55 Channel 3,Peak_56 Channel 1,Peak_56 Channel 2,Peak_56 Channel 3
0,0.0,1706.891,148.009,12029.775,2155.0,780.0,9304.0,2332.733,2584.084,3805.656,1707.686,306.138,11252.334,1117.7,302.65,10218.6,1386.32,378.08,8734.18,852.0,415.0,5227.0,2666.685,1358.097,13027.205,3556.76,299.52,15172.34,2464.558,3206.703,14787.552,1753.982,450.194,9409.712,1617.5,50.5,5497.75,1511.14,5674.414,8819.671,2604.8,354.72,15743.58,873.94,3429.83,9757.93,1271.093,517.076,5461.237,866.75,198.99,4579.4,2592.077,3237.589,6668.989,1944.98,541.96,6052.84,1579.44,226.68,9094.8,1350.8,4533.65,4874.19,1964.16,371.04,3889.44,1394.099,184.193,11838.193,2337.45,571.8,5501.5,2024.225,672.837,14240.795,2153.917,206.519,16782.081,1342.697,1190.077,11677.61,936.52,425.68,4344.88,2164.96,115.18,7674.14,2580.0,2087.0,20828.0,1351.143,345.777,8957.427,1196.85,136.05,7597.45,2645.054,489.751,20624.233,788.84,911.08,12425.12,747.128,1061.486,7669.303,1563.841,253.094,9073.477,1579.414,863.59,6970.112,1154.389,155.254,9725.682,2588.34,1478.62,9563.51,1009.13,141.0,6867.5,1182.68,2563.64,8114.92,2809.356,246.253,7988.173,2640.71,810.84,10319.41,1209.45,2358.515,30659.814,2852.2,280.3,7894.72,1932.95,2921.59,4823.64,1142.98,216.0,6022.12,3120.819,5886.106,10951.291,2093.734,243.161,10271.651,1326.7,350.3,11268.5,2811.92,1936.3,5294.1,2654.15,3157.4,8616.24,838.472,413.054,5231.834,1301.64,245.754,5891.626,1606.85,99.9,10798.75,1167.798,280.992,11332.761
1,0.035,1843.4,199.26,15929.6,2097.0,864.0,9389.0,2250.75,2321.0,4254.75,1625.69,209.53,9970.93,1118.15,232.05,9718.75,1354.02,470.26,9426.26,867.373,332.783,4055.15,2770.629,1388.901,13437.614,3589.5,246.24,13419.2,2432.967,1904.635,13873.306,1910.628,348.7,7958.532,1368.03,77.117,4569.99,1392.77,6722.31,7942.88,2435.425,340.931,14246.402,935.13,3485.67,8799.68,1161.615,721.46,6579.591,841.75,243.62,4989.95,2694.535,3718.938,6189.98,1797.041,357.397,5500.815,1532.24,256.88,9398.0,1337.84,3805.86,2910.1,1743.404,394.552,4392.673,1482.9,157.7,9077.25,2664.85,485.15,5264.0,1841.32,1068.81,12012.81,1817.123,201.979,15653.554,1579.736,2238.25,13745.441,944.6,337.24,4126.32,1912.18,124.14,5836.0,2455.0,2044.0,19287.0,1512.368,311.494,9516.783,1152.252,154.429,8027.24,2591.8,815.6,20643.7,956.2,998.68,10267.48,777.175,1070.313,6563.047,1318.511,290.957,8204.051,1714.291,1035.072,5813.991,1154.8,149.0,8585.5,2669.8,1399.53,6408.3,1115.23,141.93,6186.96,1183.32,3307.84,7199.88,2650.067,179.511,8389.696,2426.91,1394.28,10487.2,995.659,2468.154,28995.072,2842.3,328.86,8335.36,1715.5,2162.82,5832.15,1048.12,333.32,6626.22,2981.4,4792.24,12688.0,2516.12,226.72,10131.4,1278.411,298.558,10952.057,2572.845,1529.62,5993.222,2115.2,2419.38,6724.55,829.92,469.96,4929.36,1119.943,185.733,6850.356,1560.692,90.918,8729.716,1144.704,215.261,8438.699
2,0.07,1840.94,217.5,19224.86,1962.0,849.0,8682.0,2131.75,2041.25,5336.25,1454.266,219.433,9424.267,1101.35,396.9,8411.85,1288.129,871.874,10316.591,913.16,200.38,3140.36,2919.468,1655.52,13830.844,3731.976,246.649,12420.066,2541.38,1322.39,11793.52,1922.8,349.8,6563.2,1107.2,137.56,3386.36,1242.71,7055.54,6478.07,2069.816,332.98,13540.314,1021.79,3159.57,7891.05,1085.606,857.118,7333.533,831.94,256.63,4937.23,2759.243,3588.516,5532.458,1650.99,295.96,4999.09,1460.098,296.353,8726.913,1381.62,2725.04,2607.45,1571.12,340.04,5286.88,1521.55,151.65,8493.5,2918.05,330.3,5611.85,1698.864,1793.588,10764.794,1517.101,181.063,14153.19,1824.524,3323.207,15531.837,994.68,279.32,3560.08,1621.06,131.94,6711.46,2398.0,1768.0,16149.0,1617.474,772.558,9140.171,1123.318,123.959,7020.441,2509.386,1284.859,18485.969,1135.8,1438.8,7910.52,846.74,1077.68,6766.36,1054.087,315.272,6511.415,1973.731,1146.078,6854.863,1154.762,225.432,7537.869,2845.44,1410.53,4966.98,1246.69,128.05,4974.43,1219.08,3652.88,6387.6,2598.18,125.61,8354.73,2265.76,2307.56,11504.07,857.534,2148.164,26366.485,2754.06,344.1,8196.24,1597.031,1803.74,6997.879,1024.34,429.88,7318.96,2733.36,3441.72,13329.2,2826.334,216.682,10752.614,1261.94,226.86,10864.98,2402.26,1164.93,6635.54,1676.08,1592.87,5851.26,949.56,559.6,5301.64,971.12,208.62,7243.1,1507.48,87.14,7384.78,1187.36,208.12,6936.3
3,0.10500000000000001,1753.422,364.644,21327.534,1795.0,740.0,7291.0,1916.321,1483.645,6245.72,1289.46,208.9,9439.76,1072.55,871.55,7001.45,1232.042,1757.111,10044.1,934.473,187.613,2434.298,2940.408,2086.978,14620.946,3860.29,252.71,11886.78,2607.51,1096.18,10729.31,1879.6,495.6,5823.2,894.24,206.68,2661.44,1135.411,5671.234,5864.248,1754.285,283.699,11487.168,1159.776,2793.318,7628.055,1106.534,1299.883,7825.192,874.879,277.924,4898.188,2857.33,3267.2,4949.06,1476.554,294.719,4964.545,1379.54,270.5,7987.36,1420.32,1626.77,2235.34,1425.92,286.24,6386.84,1470.4,140.8,7997.3,3063.95,223.25,6448.65,1662.881,2641.893,10303.077,1291.033,191.052,12956.02,2125.67,4366.63,16369.94,1095.203,256.721,3359.419,1324.56,179.32,8831.8,2419.0,1335.0,12767.0,1664.612,1409.05,8405.955,1106.111,132.183,5554.413,2403.29,1873.938,15889.428,1221.623,1993.356,5774.025,900.1,1155.64,8323.94,826.506,311.774,4898.845,2388.262,1138.792,9008.921,1195.108,320.121,8212.67,3072.52,1393.47,4695.51,1450.982,169.802,4295.5,1267.589,3345.592,7236.998,2474.996,143.098,9429.222,2186.96,3509.46,13042.0,845.079,1666.892,22667.864,2580.972,312.784,6820.878,1598.465,1262.515,8109.721,1048.42,433.2,7929.26,2454.68,2077.68,12630.24,2997.719,228.864,11960.701,1258.232,170.34,9615.801,2435.87,866.36,7636.75,1505.86,877.36,5703.78,1058.72,624.0,6535.84,895.878,249.052,7626.601,1439.8,114.08,7214.2,1250.16,210.82,6089.84
4,0.14,1659.406,968.916,22533.872,1668.0,580.0,5621.0,1687.515,877.226,6861.002,1164.64,201.38,9818.26,1077.9,1615.85,5777.45,1216.26,3767.82,11214.6,947.67,231.78,2680.94,2883.14,2390.4,15668.84,3794.118,337.591,11758.645,2602.08,1069.81,10859.58,1890.249,819.596,6482.449,751.43,288.847,1878.719,1048.06,4522.88,5508.28,1510.886,227.306,8693.982,1314.1,2239.98,7169.64,1183.321,1880.056,7907.344,1004.6,302.0,5033.0,2883.027,2420.082,4855.208,1335.72,322.6,5679.6,1291.96,181.58,7196.08,1432.87,873.81,2153.76,1308.36,287.44,7955.12,1377.2,156.5,7901.35,3117.15,232.95,7173.5,1695.781,3297.15,10073.524,1167.06,170.46,11764.1,2425.754,4900.495,14956.455,1238.147,206.924,3826.281,1056.42,244.92,10799.9,2486.0,865.0,10473.0,1685.25,1940.64,8251.89,1116.946,186.356,4194.301,2273.93,3376.46,10921.79,1308.84,2823.6,5549.36,926.068,884.137,8352.716,603.215,243.713,3199.728,2951.931,1106.556,10756.744,1230.98,389.02,8328.29,3276.74,1248.2,4450.68,1659.571,228.185,4237.285,1333.04,2745.56,9726.48,2398.82,179.1,9462.1,2150.23,4811.23,14178.93,984.441,1311.076,19445.643,2423.37,305.46,4978.5,1689.28,1335.36,9387.8,1094.66,381.42,8226.92,2226.32,1060.32,10912.56,3050.0,197.0,13706.0,1252.209,121.567,8609.207,2444.875,585.652,8240.609,1505.85,409.8,6383.85,1135.6,637.52,7826.16,1019.905,259.38,7809.523,1354.114,201.0,8118.337,1368.349,168.284,5208.571
5,0.17500000000000002,1546.13,1825.831,20906.468,1645.0,458.0,4074.0,1570.42,437.33,8715.37,1068.82,179.88,9558.8,1142.9,2429.25,4806.6,1256.28,6432.0,12270.4,892.09,206.48,4131.14,2879.84,2253.7,16873.56,3657.75,465.0,11588.25,2547.31,1311.97,11923.86,1967.12,988.24,7041.12,679.57,353.39,1478.5,1007.56,3696.66,7010.38,1335.85,273.964,6268.737,1409.44,1458.12,6229.28,1321.2,2430.78,8003.64,1245.2,324.2,5276.4,2915.952,1570.679,5642.892,1251.2,217.44,7323.32,1226.58,175.96,6350.38,1464.206,472.074,2260.396,1253.44,305.24,9908.32,1279.308,172.816,7653.284,3078.277,278.231,6937.846,1848.604,3424.851,9667.06,1081.89,174.925,10854.313,2688.932,4610.982,13473.347,1371.92,291.24,4517.48,987.1,290.04,11673.08,2540.0,485.0,9762.0,1612.718,2127.388,8005.044,1145.982,307.528,3326.503,2038.585,4240.57,7742.968,1373.901,3755.905,6551.597,961.34,498.64,6974.35,393.229,175.65,1403.609,3523.34,1315.07,12102.24,1231.03,350.26,8199.05,3383.0,973.02,4389.73,1874.42,296.54,5260.03,1452.36,1946.8,11873.28,2267.691,231.671,8407.321,2167.33,6103.95,14589.61,1245.287,1164.706,16102.714,2298.14,464.54,4251.75,1863.88,1342.88,10055.28,1152.92,360.0,7959.26,2011.64,494.64,9257.76,2929.244,177.527,14489.607,1296.57,82.79,7192.58,2521.422,391.166,8243.908,1659.26,274.75,8550.64,1199.96,608.12,8369.24,1284.25,229.55,8111.45,1342.98,292.54,10348.0,1555.451,146.651,5471.378
6,0.21000000000000002,1510.91,2747.99,18953.03,1749.0,478.0,2956.0,1549.05,420.09,10246.79,969.689,149.747,7934.461,1215.608,2722.227,4216.691,1350.72,9016.88,12379.76,830.89,147.06,6095.36,2964.82,1782.04,18334.92,3366.0,706.25,11275.5,2501.05,2229.62,12765.01,2056.29,1004.925,7388.87,697.77,330.59,1843.13,1076.16,2871.9,10085.14,1231.24,256.772,5100.606,1494.566,959.723,5560.263,1461.596,2616.121,8630.944,1622.0,303.4,6336.6,2900.199,984.406,6918.65,1249.12,119.4,8307.48,1225.14,223.46,5732.48,1609.043,361.66,2293.959,1275.64,293.72,11054.84,1198.34,153.02,7499.54,2978.32,333.78,5810.22,2114.08,3051.84,9067.24,1042.12,194.83,9843.02,2887.762,3540.801,10762.491,1472.826,388.779,5552.77,1393.28,291.14,11470.8,2514.0,285.0,9564.0,1507.88,2360.48,7480.8,1192.335,411.893,3325.68,1839.04,5105.28,4753.12,1406.118,4327.902,7490.953,970.754,467.774,6205.977,733.46,348.692,1882.928,3707.59,1768.37,12510.14,1229.06,399.44,7722.61,3353.79,663.58,4906.79,2031.314,364.41,6914.435,1563.0,1153.0,13918.96,2151.98,276.77,8048.69,2261.79,7371.71,14211.0,1566.755,1441.607,11812.572,2250.34,734.36,4271.93,2102.36,1160.6,10323.88,1232.08,400.26,7012.22,1876.92,301.08,7736.36,2870.68,160.78,14225.4,1366.82,123.47,5921.5,2624.029,434.041,8810.095,1921.05,359.27,11556.1,1304.92,585.32,7904.88,1488.35,223.3,8312.6,1430.6,350.46,10948.14,1826.3,155.16,6640.42
7,0.24500000000000002,1562.53,3178.02,18813.78,1899.986,480.92,3133.137,1663.32,502.84,11112.74,904.51,135.36,5577.2,1292.06,2589.28,3869.4,1479.38,10543.74,11293.98,804.12,115.88,7739.89,3096.16,1200.74,19200.5,3031.75,1225.75,10648.5,2501.55,3763.08,12652.36,2204.88,930.48,7197.36,801.104,299.273,2370.748,1239.42,2192.76,12978.7,1215.29,259.07,4951.8,1592.34,839.63,5519.04,1615.934,2418.879,7839.013,2098.2,234.0,7206.6,2840.349,916.455,7871.632,1345.56,132.48,8393.84,1317.3,223.92,5383.48,1850.8,376.6,2566.0,1372.08,283.36,10371.92,1216.6,154.02,6523.66,2997.647,474.881,4759.293,2406.898,2699.459,8333.637,1093.5,285.04,7593.44,3084.877,2464.52,8390.909,1583.61,510.45,6767.83,1855.92,249.06,10989.4,2362.0,227.0,9781.0,1441.211,2435.808,8268.828,1266.241,449.764,3600.418,1615.749,4784.365,3264.494,1390.412,4321.859,7681.547,1060.29,370.464,4960.758,1035.28,533.05,1869.14,3760.82,2188.67,12204.51,1224.15,388.39,7141.52,3218.97,434.42,5889.4,2344.747,448.762,10466.295,1664.44,620.44,15920.28,2048.223,260.63,6369.345,2446.52,8655.15,13096.0,1838.3,2453.4,8686.46,2262.54,1071.77,5134.38,2336.64,950.44,10734.32,1352.42,465.22,5730.88,1833.6,388.92,6057.84,2835.84,199.72,14095.02,1471.04,208.55,4863.32,2825.72,471.28,11022.28,2158.079,431.248,12904.261,1473.88,586.12,6764.68,1674.5,270.25,8327.0,1594.56,389.66,10758.86,2057.7,163.2,7429.46
8,0.28,1643.42,3201.53,18364.85,2173.34,463.08,4011.58,1877.53,522.02,11157.91,878.902,112.298,3668.944,1439.32,2209.62,3629.04,1620.98,10393.44,9754.9,916.101,159.479,8476.551,3215.3,777.48,19135.02,2787.75,2126.75,10276.5,2564.79,5301.94,12317.32,2281.56,544.72,6408.04,949.897,334.116,2981.488,1460.8,1660.2,14817.22,1297.96,340.54,5746.9,1689.64,788.58,5154.21,1738.282,1849.492,7028.247,2546.2,177.4,7425.6,2809.74,1076.38,8470.02,1532.68,243.6,7347.2,1501.6,177.62,5166.74,2118.2,400.4,2851.0,1531.2,271.48,8123.68,1297.147,154.68,5452.39,3141.883,761.18,5546.5,2795.494,3071.683,8598.382,1143.943,333.531,5096.639,3274.119,1637.091,7239.146,1646.18,680.46,7628.05,2248.84,252.9,11922.98,2078.0,238.0,10369.0,1590.589,2017.756,8997.951,1382.04,417.3,3920.7,1505.224,3701.595,2931.935,1484.68,4436.96,8364.08,1227.999,277.189,5440.77,1448.08,939.82,2654.41,3687.52,2529.72,12045.31,1321.404,435.863,6785.857,3076.14,325.68,6464.98,2721.371,580.516,13286.373,1775.96,355.44,16543.8,2045.437,261.389,6549.779,2677.42,9931.86,11541.49,2060.74,4070.78,6645.36,2333.21,1605.47,6793.9,2539.92,690.48,10551.32,1523.74,497.24,4588.3,1887.4,625.72,5107.68,2885.08,252.28,15689.58,1617.4,273.19,5410.01,2986.4,489.2,13691.76,2558.32,569.96,14932.48,1720.28,619.72,5831.2,1843.85,336.4,7620.0,1822.06,398.68,10413.34,2319.842,148.619,7876.859
9,0.31500000000000006,1783.543,3077.623,14984.332,2466.4,507.84,5565.96,2154.33,465.34,10426.02,1137.601,106.127,4091.268,1666.851,1743.041,3485.344,1779.33,8784.273,8101.347,1197.87,368.773,8749.435,3363.92,662.08,18300.7,2753.5,3257.0,10716.75,2690.21,6257.18,13005.81,2355.421,277.001,5972.328,1195.0,550.04,3781.2,1723.12,1164.62,15660.68,1525.344,434.17,6260.372,1818.04,867.9,5371.7,1867.573,1222.048,6513.584,2921.4,188.8,6996.2,2812.421,1732.058,9290.285,1781.03,417.116,5775.484,1747.12,120.1,5111.84,2394.806,384.807,4036.322,1734.24,410.92,5741.56,1398.598,142.484,6052.308,3287.66,1246.88,7277.72,3181.991,3951.854,10121.598,1253.517,318.274,3296.842,3374.647,1259.435,9075.512,1728.71,1047.02,8170.79,2488.531,299.586,13501.656,1708.0,217.0,11283.0,1915.88,1777.8,10174.16,1486.438,378.66,4286.681,1546.472,2506.678,3161.402,1689.88,4207.12,9085.48,1475.253,205.496,6983.573,1943.001,1470.489,3958.147,3531.31,2714.61,12614.48,1460.12,374.64,5356.0,3018.29,340.99,6684.77,3130.2,812.04,14864.6,1910.72,281.36,15272.96,2159.078,280.99,6819.442,2934.64,11003.69,9855.55,2290.22,5938.36,6204.32,2451.48,2415.17,9258.76,2816.488,329.504,9627.787,1731.22,474.94,3860.1,2052.72,1040.44,5323.48,2994.86,317.54,16975.78,1921.95,596.674,7321.262,3104.04,676.84,15485.76,2965.6,655.24,16106.56,2049.76,683.72,5262.88,2001.75,421.55,6775.9,2070.9,375.72,9669.74,2745.345,131.331,9753.789
10,0.35000000000000003,2015.38,2913.33,11555.41,2736.6,599.66,7284.34,2478.11,368.93,9172.23,1489.547,130.91,5406.768,1976.08,1504.08,3793.12,1974.9,6818.64,6995.45,1533.276,929.236,8689.821,3481.38,506.86,16923.24,2960.02,4402.106,11462.866,3003.467,4819.92,11575.395,2540.858,196.723,6189.703,1471.4,1003.92,4242.44,2023.3,799.54,15710.92,1806.04,615.84,6308.94,1984.9,957.02,5655.67,2013.0,770.0,6534.0,3187.2,173.8,6514.0,2977.28,2916.722,10712.011,2025.698,508.894,5204.313,2005.9,98.16,5554.82,2687.04,443.76,5401.08,1953.44,734.28,4223.32,1559.774,132.97,6908.071,3377.873,2271.181,9952.435,3523.591,4831.023,12058.586,1454.791,265.876,2679.415,3405.726,1011.203,10329.227,1921.395,1817.734,8308.512,2580.096,383.733,13732.098,1495.0,319.0,11673.0,2160.284,2398.355,11877.91,1663.196,268.506,4138.572,1758.367,1652.073,3731.916,1871.75,3035.859,7831.262,1780.984,148.735,8850.406,2437.036,1974.346,5347.434,3687.632,2923.956,13950.65,1663.184,325.227,4420.934,3071.417,330.194,6696.126,3513.074,1223.362,14609.508,2043.366,264.187,13624.999,2410.652,306.211,7358.738,3204.71,11503.6,8371.14,2528.66,7572.48,6642.8,2597.18,3294.75,12257.48,3136.44,197.4,7954.32,1976.526,510.038,3974.531,2342.64,1819.96,5457.96,3111.24,442.64,16577.38,2321.58,1337.94,9986.9,3200.24,1054.88,15628.32,3271.76,603.44,15559.16,2440.12,738.16,4863.08,2174.85,450.5,5833.35,2288.771,345.293,9351.573,3005.86,202.24,10788.2
11,0.385,2147.428,2154.949,11472.168,2939.84,775.24,8666.54,2809.76,466.16,7923.22,1847.459,178.134,6864.186,2191.92,1428.26,3548.6,2121.53,5035.69,6506.74,1843.46,1776.237,8930.504,3556.76,299.52,15172.34,3286.037,5066.376,11650.159,3326.6,3713.6,10563.2,2647.96,235.28,7333.0,1724.12,1669.2,4366.8,2312.301,575.391,15059.217,2122.16,1078.36,7103.02,2195.864,1138.893,6278.44,2148.146,1222.876,7402.653,3320.2,146.0,6058.0,3278.46,4303.805,12124.161,2275.6,744.28,6037.6,2229.58,102.48,6645.16,2907.32,583.76,6003.68,2167.604,931.909,4552.623,1757.9,119.28,7660.82,3530.68,3749.0,12410.1,3837.251,5328.704,14055.387,1787.517,242.386,2550.671,3440.46,904.98,11715.94,2299.25,2703.4,8202.35,2677.65,438.46,12296.9,2118.848,528.005,10631.255,2322.054,3694.527,14023.153,1836.799,243.843,4781.978,2038.08,1210.56,4495.88,2181.13,2063.4,6887.8,2015.753,132.599,9847.623,3037.12,2827.96,6809.22,4088.6,3269.59,15631.6,1924.88,291.25,4147.69,3233.534,275.863,6377.184,3974.32,1698.45,13608.97,2095.321,248.46,13461.195,2784.781,308.138,8311.883,3481.71,11073.82,6862.64,2804.324,7397.24,6911.956,2748.29,4006.51,15456.13,3402.32,209.92,6500.32,2234.71,585.64,4941.17,2700.56,2722.28,5332.8,3309.636,773.827,14910.947,2689.28,2416.796,12373.405,3286.48,1578.92,14097.24,3601.347,498.55,13488.938,2842.36,734.8,4932.48,2313.52,439.948,4535.544,2522.085,445.472,10671.68,3152.68,298.28,11530.44
12,0.42000000000000004,2330.839,1584.613,10982.719,3076.513,1018.11,9594.646,3060.85,799.5,7384.02,2162.889,214.904,8263.221,2370.98,1478.78,3415.06,2248.655,3962.5,6441.83,2148.011,2588.614,8504.003,3589.5,246.24,13419.2,3547.85,6249.86,11961.86,3541.8,2869.8,10106.6,2728.6,290.6,7423.96,1906.24,2479.76,4376.12,2570.85,451.95,14219.5,2362.92,1956.32,7655.64,2522.107,1955.121,8179.356,2300.941,1898.548,8862.227,3318.0,145.4,5808.6,3623.857,5163.592,13095.119,2389.84,1051.84,6566.52,2373.74,165.9,7961.2,3059.182,891.674,6919.17,2345.916,944.876,5496.209,1910.25,119.529,8011.329,3749.8,4600.76,15298.68,4104.064,5279.617,15659.701,2197.59,307.16,3425.9,3513.54,1117.4,13603.46,2941.85,3002.2,8272.6,2795.08,400.01,10070.97,2623.7,593.0,9594.14,2428.0,5509.0,17583.0,1999.6,217.6,6375.3,2282.819,779.241,5662.192,2422.639,1190.975,6204.815,2199.9,104.95,10305.2,3559.58,3535.9,7724.9,3991.737,2833.419,16894.808,2124.83,221.06,3410.96,3445.46,247.34,6473.39,4167.394,1799.775,11356.332,2216.0,275.6,11537.08,3042.46,244.64,9791.24,3753.19,9598.29,5105.9,3160.6,6337.05,7740.85,2876.45,4327.23,17601.56,3629.48,229.6,5638.2,2385.1,689.72,5700.58,3050.6,3477.84,5079.24,3486.11,1399.16,13200.93,3100.243,3549.047,12877.284,3495.35,2296.644,13914.999,3920.24,425.45,11048.73,3189.52,665.12,5645.88,2458.238,422.249,4048.182,2654.22,784.56,14152.6,3391.73,287.123,13667.41
13,0.45500000000000007,2436.897,1016.398,10249.357,3157.467,1280.356,9713.804,3200.76,1236.92,7983.33,2354.876,205.608,8942.418,2500.62,2029.76,4136.42,2367.6,3994.5,6532.6,2300.386,2348.758,6976.077,3731.976,246.649,12420.066,3724.99,6434.906,11469.288,3689.4,1828.6,9237.2,2889.624,508.115,6136.822,2031.213,2856.295,3864.605,2832.1,443.7,13464.8,2484.24,3222.98,9002.42,2756.362,2821.303,10179.406,2438.076,2642.725,10603.765,3266.095,237.057,5887.61,3865.265,5257.65,13527.811,2455.187,991.363,7317.487,2476.581,569.914,9007.779,3155.392,1301.311,9858.992,2419.284,874.011,7297.921,2126.008,186.241,6698.991,3946.12,4865.02,17949.88,4237.34,4494.15,19264.44,2466.744,583.94,5083.355,3612.88,1375.74,13830.92,3638.174,3062.569,8530.69,2916.73,280.02,8683.04,2867.72,475.68,8809.96,2824.0,6714.0,20573.0,2051.607,206.612,8673.978,2562.94,490.32,7550.64,2617.916,628.205,5840.887,2244.535,114.521,9892.827,3928.68,3903.78,7639.12,4303.936,3097.761,18232.368,2271.312,203.868,3191.328,3598.68,200.41,6625.14,4230.971,2006.249,8599.534,2300.52,276.16,10011.56,3253.262,276.903,10559.104,3990.09,7332.05,4195.11,3473.148,4969.056,8879.329,2969.757,4151.072,16716.928,3810.934,252.879,5323.749,2447.75,1146.265,5377.748,3309.0,3776.72,4981.16,3522.63,2311.02,12066.94,3317.108,4229.744,11694.261,3672.412,2960.267,14401.0,3990.562,371.05,8583.224,3410.88,593.6,6617.96,2525.779,380.278,4185.361,2717.695,1481.167,17980.709,3519.69,243.78,14173.86
